BOARD_NO	BOARD_TITLE	BOARD_CONTENT	BOARD_GNO	BOARD_MNO	BOARD_DATE	BOARD_HIT	BOARD_LIKE	BOARD_CATEGORY
41	순종포메라니안 분양중입니다^^	귀엽구 말잘들어요! 진짜 애정갖고 키우실 분만 연락부탁드려요	G003	M000003	2020-01-02	60	10	자유게시판
42	선생님들 혹시 강아지 혼자 있는 시간이 평균 몇시간정도인가요?	저는 혼자 자취하기 때문에 제가 출근하면서 항상 강아지가 혼자있게 되는데요. 이생황을 7년째 하고 있습니다 근데 강아지가 저를 많이 그리워할까요 방법이 없을까요	G003	M000003	2020-01-02	61	10	자유게시판
43	날씨가 너무 따뜻해졌네요	산책하기 너무 좋아요	G003	M000163	2020-01-02	92	10	자유게시판
44	포켄스 덴탈껌 싼건가요?	티몬에 포켄스 덴탈껌 싸게 나와서요. 사볼까 하는게 가격 괜찮은거겠쭁?ㅎㅎ 가격대가 괜찮은거 같더라구요	G003	M000163	2020-01-06	12	10	자유게시판
45	증멍사진 생겼어요	인스타로 무지네 잡화점에 증멍사진 주문했는데 금손 작가님께서 이든이 하이바까지 만들어주셨어요. 사진도 넘 예쁘고 배송 온 것도 다 맘에 들고 대만족이에요	G003	M000143	2020-01-06	55	10	자유게시판
46	부천 중동 t**동물병원	부천 중동에 있는 t**동물병원에서 스케일링 하려고 하는데요 여기 외과 선생님이 젊어 보이시던데.. 실력 괜찮으신 가요? ㅠㅠ	G003	M000043	2020-01-06	34	10	자유게시판
47	울산에 강아지 슬개골탈구 수술잘하는 병원 추천좀요~	추천좀요 ㅋㅋㅋ	G003	M000003	2020-01-07	74	10	자유게시판
48	시골에 있는 아가강아지가 넘 불쌍해요	할머니가 강아지를 어떻게 하다가 데려왔어요 4개월~5개월정도 추정인데 포메같기도하고 폼피츠 같기두 해요 근데 너무 순하고 애가 겁도 많은지 집에만 있어여ㅠㅠ할머니가 시골에 사시고 연세가 있으셔서 그런지 그 쪼끄만 애애를 밖에다가 묶어놓으셧는데 제가 강아지를 잘 키울 자신이 없습니다.. 어디로 맡기고 싶은데 어디가 믿음직할까요?	G003	M000023	2020-01-08	97	10	자유게시판
49	100일 되어가는 뿌꾸	우리집에 온지도 두달이 되어가는 우리 뿌꾸...	G003	M000023	2020-01-15	56	10	자유게시판
50	ㅠㅠㅠㅠㅠㅠ헐대박이네요ㅠㅠㅠㅠㅠ	천사네여정말... 와 모질이 어쩜저래 좋을수가 있는지 ㅠㅠㅠㅠ 눈물 질질질...	G003	M000043	2020-01-18	46	10	자유게시판
51	혹시 이 애기 종이뭘까요?	너무 귀여워서 캡쳐했는데 믹스인것 같기도 하고 ㅠㅠ	G003	M000173	2020-01-22	63	10	자유게시판
52	내일이면 봄이가 50일이 되네요!!	봄이가 어느덧 50일이 되갑니다..	G003	M000043	2020-01-22	92	10	자유게시판
53	샴푸는 로라샴푸쓰고있는데 트리트먼트린스는 어떤게좋아요	샴푸만 썼는데 지금까지 몸에 살짝 각질? ㄱ비듬같은 하얀 가루가 보여요 건조해서 그런거 같기도 하고 그런데 트리트먼트나 린스는 어떤게 좋은가요?	G003	M000123	2020-01-28	19	10	자유게시판
54	오늘 가방산책을 가니까 가방을 왜 안고다니냐구 ㅎㅎㅎㅎ	바깥 냄새라도 맡게 해줄 심산으로 가방에 강아지를 넣어 안고 산책을 다녀왔어요. 날도 좋고 춥지 않아서인지 할머님들이 가방속 강아지를 보더니 개를 왜 안고 다니냐구 ㅎㅎㅎ그러네요 ㅎㅎㅎ	G003	M000123	2020-02-03	35	10	자유게시판
55	강아지미용할때 귀털이요.	미용할 때 귀속에 털은 뽑는거라고 하더라고요. 그럼 너무 아픈거 아닌가요? 고통을 안느끼진 않지 않나요?	G003	M000063	2020-02-03	44	10	자유게시판
56	[30대] 강아지 백내장	10살되었는데 눈이 좀 뿌얘보이거든요 ㅠㅠ 눈에 넣은 안약이랑 먹는 것 추천해 주실 수 있을까요?	G003	M000123	2020-02-03	44	10	자유게시판
57	산책후 진드기ㅠ	금방 산책하고 방에 들어왔는데 진드기 2마리발견 ㅠㅠ 으엉	G003	M000043	2020-02-09	52	10	자유게시판
58	동물 매개치료 어디서 배울수 있을까요	학교는 너무 멀고 비싸네요 한학기 400이상 ~!.. 어차피 정식 자격증은 없는 것 같고 제대로 하는 기관에서 배워야 할것 같아서요. 무슨 아카데미는 ㅈ자다 받아서 ㅠㅠ	G003	M000173	2020-02-10	44	10	자유게시판
59	날이 정말 흐리네요	다들 이런 흐린날에는 집에서 뭐하시나요?	G003	M000153	2020-02-13	30	10	자유게시판
60	강아지 비상금 얼마나 모아두셨어요?	애기적금들었는데 ㄷㅓ 넣을까봐요	G003	M000093	2020-02-15	39	10	자유게시판
61	핏펫몰 적립금 5000원 받아가세용~,~	안녕하세요, 수의사들이 만든 반려견 간식, 영양제 핏팻몰이에요! 가입하시면 적립금 5천원 들어가용~,~ 유용하게 사용하세욥!!	G003	M000153	2020-02-16	75	10	자유게시판
62	강아지 켁켁거림 아시는분 있나요 ㅠ	강아지가 원래 이틀에 한번 정도 잊을만하면 켁겍거리는게 있었는데 병원에서 약 먹고나서 괜찮아졌는데 갑자기 저러더니 조금의 토와 먹던 사료를 뱉었는데 소가죽 개껌이 안좋거나 사료가 안좋아서 그런걸 수 도 있을까요?	G003	M000053	2020-02-16	73	10	자유게시판
63	위생미용	맡기면은 어떤거해주죠? 양치나 눈마사지 해주나요?? 비용은 어느정도 하는지 아는분 알려주세요ㅠㅠ	G003	M000093	2020-02-19	63	10	자유게시판
64	전남 영광 애견 동반식당 있나요?	폼이랑 같이 영광 놀러 가고 싶은데 카페는 있는데 식당은 없는 거 같드라구요 혹시 가보신 분 추천 부탁드려요!!	G003	M000093	2020-02-22	52	10	자유게시판
65	세나개에 유독 가족 한명한테만 공격성	보이는 강아지 나온 회차 있을가요?	G003	M000053	2020-02-25	26	10	자유게시판
66	발세척통 쓰시는분?	발세척통 쓰는데 샴푸 안 묻히고 그냥 물로 여러번 씻기거든요(원래 균 없애는데는 흐르는 물로 오래 씻는게 좋다잖아요).... 암튼 이거 바짝 말린다고 매일 말리는데 세척통 안에 고무솔? 같은 것들에 때가 껴서 칫솔로 닦아봤는데 잘 안없어지네요. 이거 세제같은데 담가놔도 괜찮나요? 다들 관리 어떻게들 하세요?	G003	M000163	2020-02-28	47	10	자유게시판
67	한번만 읽어주세요ㅠㅠㅠ	오늘 귀염증으로 병원 다녀왔는데 애가 계속 긁어서 지켜보다 보니까 눈이 엄청 부어있어요 ㅠㅠㅠㅠ 귀염증도 왼쪽인데 눈도 왼쪽이 부었어요....왜이럴까요ㅠㅠㅠ	G003	M000143	2020-03-02	25	10	자유게시판
68	오늘 몸무게 1.4에욤ㅋㅋ	체중계위에서 얼마나 움직이는쥐 쿠쿸	G003	M000153	2020-03-05	24	10	자유게시판
69	강아지가 피소변을 봤어요...	일 갔다오니 피소변을 봤는데 내일 일끝나고 병원가볼려고 하는데 괜찮을 까요 이런적은 첨이라 어제도 묽은 변봐서 털에 똥이 다 묻어서 씻겨줬거든요.. 피소변 봐서 걱정이긴 한데 다니는 병원이 병원비 많이 나올까봐 그것도 걱정이네요	G003	M000183	2020-03-07	12	10	자유게시판
70	궁금할때에는.. 좋을것같아요.	전문가가 상담해주는 어플이네요.	G003	M000173	2020-03-09	53	10	자유게시판
71	출산 강아지 자랑글에 대한 안내입니다.	분양글, 혼담글에 관하여.찰산 강아지 자랑글에 대하여출산 강아지 자랑글에 대한 안내입니다.강아지 보육글이 분양 유도글에 해당되는 경우가 많아 아래에 해당되면 정지, 강퇴될 수 있습니다. 30일 정지 두번만 되어도 2개월 정지 됩니다.강아지 월령 1개월(30일)~3개월까지의 보육글은 활동정지됩니다(30일 이전 1회 허용)분양 생각 없다는 글 포함되어 있어도 활동정지됩니다.출산 날짜 불분명 하거나 반복으로 보육글이 등록되어도 활동정지됩니다.	G003	M000013	2020-03-10	77	10	공지사항
72	활동글없이 상거래글 도배하는 아이디 정지/강퇴됩니다.	활동글 없이 상거래글 도배하는 아이디 정지/강퇴됩니다.과도하게 여러개의 상거래글 도박하는 아이디가 많아졌습니다.가입인사까지 지우고 상거래글만 등록하거나 도배, 여러지역 표기하는 아이디는 강퇴됩니다.또한 상거래글에 타 사이트 유도글도 금지사항이므로 본문내에 모든 내용 넣어주세요	G003	M000013	2020-03-10	73	10	공지사항
73	멸종위기 야생동물 보호에 주의하세요!	안녕하세요.개판냥판 서비스팀입니다.한강유역환경청으로부터 `야생생물 보호 및 관리에 관한 법률 제 14조`를 위반하고멸종위기 야생생물을 불법 보관, 유통한 카페에 대한 민원이 지속되고 있다는 내용의 공문을 받아이에 대해 안내해드리니 관련 카페 운영자 및 멤버 여러분께서는 참고해주시기 바랍니다.카페 서비스를 이용해주고 계신 여러분께서도 이러한 점 참고하셔서 불법행위로 인한 처벌을 받지 않도록주의 당부드립니다.	G003	M000013	2020-03-10	84	10	공지사항
74	<유기견과 길고양이 콩저금통>에 저금해주세요	개판냥판은 직접 모금하거나 회원님들의 입금을 받지 않습니다.기부는 네이버에서 진행하는 해피빈으로 하며 동맹모임인 유사모를 통하여 진행합니다.유기견,유기묘,유기동물 돕기는 다모임 활동하시면서 쉽게 참여하실 수 있습니다.기부하시는 콩은 유기견이나 길고양이 또는 유기동물 등 관련된 곳에 사용되며 모금될때마다 기부하고 있습니다.	G003	M000013	2020-03-13	76	10	공지사항
75	[필독] 개퍈냥판 규칙	아래는 강사모 카페에서 활동시 지켜야할 사항고 규칙에 대한 안내입니다.<개판냥판에서 글등록시 주의하여햐 할 내용입니다.>위반시 안내 쪽지나 메일을 보내는 관리는 많은 인원이라 안되지만 정지 시 샤유는 메일로 자동으로 발송됩니다.메일은 카페메일함, 스팸메일함에 있을 수도 있습니다.1. 본 카페에는 1인 1아이디로 활동하셔야 하며 가입인사 삭제시 정지 또는 강퇴됩니다.2. 제목글에 특수문자나 아래의 금지단어의 사용을 허용하지 않습니다.(제목글 금지단어 : 급,긴급, 급합니다, 가격제시, 초특가, 세일, 파격가, 경매)3. 모든 글등록시 다른 홈페이지 등으로 유도 또는 구매후기로 홍보하시면 제명합니다.	G003	M000003	2020-03-15	77	10	공지사항
76	[공지] 분양방 폐쇄합니다. 위반글은 정지와 강퇴 적용됩니다. (입양글, 혼담글도 확인해주세요)	오래전부터 분양방 단속을 하고 있지만 아이디를 계쏙 어둠의 경로로 입수하여 등록이 반복되고 있습니다.단계별로 줄이는 분양글을 줄이는 방향으로 진행하게 됩니다.아이디를 분양글 등록자에게 빌려주는 경우 영구정지나 재가입불가 강퇴될 수 있으므로절대 아이디를 타인에게 양도하는 경우가 없도록 해주세요.	G003	M000003	2020-03-16	12	10	공지사항
77	강아지 입안에 넣은 음식 빼는법 있나요?	우리 아가가 오전에 개껌을 먹었는데 , 너무 많이 먹어서 그런지 목에 낀채로 안빠져요ㅠㅠ 어케해염?	G003	M000103	2020-03-17	15	10	질의응답
78	신고합니다	분양글좀 없애주세요 진짜 ㅡㅡ 너무 보기시러요	G003	M000143	2020-03-17	26	10	질의응답
79	분양글 그만하시죠	분양글 신고처리 안해주시나요? 일처리 너무 안하네 그냥 나가겠습니다 ㅅㄱ ㅡㅡ	G003	M000173	2020-03-19	36	10	질의응답
80	운영진으로 등업하려면 어떻게 해야하나요?	회원 시러시러 감투 져아져아	G003	M000183	2020-03-22	19	10	질의응답
